iter	RMSE
0	14.99520449
1	14.62295843
2	14.2345381
3	13.87624267
4	13.53448689
5	13.24706911
6	12.93916964
7	12.66939074
8	12.39788052
9	12.1015483
10	11.82435863
11	11.58289373
12	11.32714971
13	11.09492736
14	10.85738931
15	10.61710536
16	10.40042719
17	10.20477761
18	9.99243791
19	9.812060544
20	9.634795897
21	9.463647619
22	9.289379415
23	9.122932356
24	8.969400176
25	8.820245796
26	8.676719588
27	8.546679504
28	8.401771414
29	8.272260062
30	8.163652259
31	8.047269921
32	7.940428426
33	7.825533523
34	7.715186697
35	7.617989074
36	7.51409166
37	7.430049748
38	7.347083023
39	7.264722205
40	7.188731406
41	7.113641264
42	7.041189585
43	6.968153666
44	6.89927343
45	6.842349248
46	6.774424933
47	6.717106269
48	6.653306682
49	6.600483817
50	6.548862627
51	6.496366257
52	6.449217514
53	6.400340916
54	6.352924158
55	6.313404264
56	6.268288115
57	6.231024475
58	6.20114336
59	6.165780108
60	6.130035468
61	6.094249662
62	6.060063482
63	6.023743694
64	5.992032962
65	5.962337771
66	5.935896215
67	5.908308365
68	5.877626666
69	5.85071439
70	5.823836594
71	5.802261939
72	5.778402803
73	5.753531012
74	5.728815474
75	5.710381291
76	5.691755579
77	5.66898313
78	5.650432029
79	5.634697363
80	5.618162219
81	5.602936038
82	5.587444353
83	5.573593631
84	5.552520796
85	5.531631417
86	5.51507722
87	5.501473614
88	5.486480642
89	5.47264628
90	5.459680627
91	5.44939338
92	5.432867932
93	5.420253627
94	5.410025921
95	5.399589024
96	5.388388681
97	5.379238225
98	5.370016276
99	5.357607371
100	5.345215461
101	5.336498163
102	5.325608091
103	5.315222766
104	5.306262762
105	5.300936199
106	5.288074992
107	5.281103683
108	5.272169898
109	5.263563189
110	5.250000527
111	5.241968896
112	5.234324575
113	5.226205205
114	5.218216032
115	5.209093161
116	5.20144779
117	5.197224155
118	5.18837482
119	5.181764665
120	5.178767351
121	5.170336021
122	5.162471496
123	5.156082178
124	5.149894131
125	5.142643492
126	5.137620913
127	5.132980402
128	5.12809178
129	5.119412623
130	5.113077191
131	5.108910755
132	5.097844856
133	5.09275132
134	5.085156677
135	5.078028651
136	5.070739767
137	5.06296643
138	5.056731214
139	5.052388852
140	5.048193598
141	5.043654983
142	5.037647904
143	5.032366216
144	5.025476129
145	5.02128161
146	5.01576898
147	5.010918594
148	5.004506649
149	5.001341547
150	4.998780294
151	4.994779779
152	4.990048944
153	4.983761642
154	4.975039429
155	4.971462043
156	4.967427414
157	4.96204549
158	4.955780927
159	4.946809159
160	4.943878705
161	4.940461292
162	4.934084314
163	4.931511934
164	4.928899164
165	4.926340043
166	4.920449416
167	4.917475011
168	4.91409002
169	4.908989277
170	4.902208286
171	4.897109774
172	4.893172113
173	4.881902745
174	4.877767848
175	4.871601534
176	4.865438849
177	4.860699147
178	4.854950922
179	4.849088126
180	4.845670703
181	4.841379085
182	4.833814078
183	4.830089541
184	4.825130229
185	4.818479976
186	4.815042987
187	4.809498028
188	4.804328218
189	4.798018979
190	4.790470911
191	4.785472162
192	4.781491841
193	4.779385241
194	4.77284734
195	4.766405968
196	4.764673358
197	4.762241493
198	4.758737147
199	4.754082627
200	4.751360487
201	4.747864192
202	4.740001498
203	4.734646173
204	4.729054947
205	4.726005388
206	4.721721282
207	4.718908302
208	4.71416863
209	4.709997786
210	4.706448617
211	4.704601954
212	4.699336985
213	4.695892693
214	4.693700918
215	4.692983402
216	4.689200444
217	4.686034022
218	4.683307407
219	4.679550053
220	4.67559208
221	4.674499138
222	4.669119328
223	4.667024148
224	4.664488425
225	4.66234718
226	4.660468919
227	4.657444004
228	4.651166977
229	4.647036126
230	4.645522636
231	4.640021744
232	4.63278664
233	4.631154713
234	4.629469331
235	4.621962954
236	4.615545877
237	4.611626138
238	4.608645723
239	4.602309794
240	4.59686699
241	4.594274329
242	4.587492462
243	4.578676419
244	4.576905877
245	4.574263163
246	4.56923297
247	4.567553752
248	4.563614611
249	4.558142995
250	4.555275394
251	4.551507608
252	4.545613535
253	4.539119796
254	4.538671895
255	4.536729327
256	4.53189767
257	4.526078733
258	4.523617565
259	4.520115978
260	4.517543565
261	4.514014804
262	4.509923667
263	4.506819907
264	4.503862904
265	4.501440734
266	4.498666803
267	4.494084708
268	4.489825529
269	4.486745725
270	4.483792772
271	4.479579111
272	4.475839841
273	4.473463064
274	4.469479189
275	4.464456869
276	4.46048435
277	4.456558147
278	4.454784037
279	4.448349364
280	4.446304738
281	4.444933209
282	4.442934208
283	4.437179773
284	4.431652017
285	4.429040193
286	4.425983049
287	4.422266542
288	4.417770429
289	4.415305481
290	4.412345532
291	4.409460216
292	4.404770334
293	4.40318648
294	4.39966689
295	4.398996606
296	4.395205073
297	4.391843135
298	4.388055889
299	4.384454362
300	4.381019448
301	4.380123801
302	4.373317491
303	4.367474025
304	4.36217671
305	4.358075797
306	4.357949297
307	4.354345946
308	4.3516524
309	4.347914778
310	4.344738269
311	4.344350661
312	4.339016475
313	4.332360537
314	4.325784242
315	4.324770816
316	4.32002334
317	4.315194694
318	4.311459626
319	4.30812155
320	4.304117989
321	4.29804178
322	4.296632653
323	4.293846317
324	4.291503944
325	4.285175662
326	4.277976162
327	4.27556733
328	4.271122702
329	4.269050914
330	4.266462733
331	4.26204708
332	4.259124921
333	4.257043523
334	4.255220469
335	4.251930901
336	4.248172107
337	4.240343139
338	4.23657814
339	4.236387489
340	4.230400301
341	4.228062775
342	4.223484639
343	4.219399334
344	4.217079482
345	4.215798636
346	4.209610963
347	4.205254709
348	4.2025442
349	4.196889094
350	4.19414544
351	4.189642171
352	4.186945393
353	4.186035051
354	4.179324318
355	4.176856722
356	4.172082236
357	4.168155049
358	4.164309544
359	4.162018855
360	4.159686896
361	4.157554948
362	4.151603759
363	4.14503388
364	4.139833012
365	4.135311603
366	4.131571688
367	4.131279665
368	4.128317604
369	4.127059643
370	4.124214041
371	4.120774898
372	4.119533323
373	4.119330269
374	4.11661175
375	4.113569899
376	4.108125027
377	4.102530409
378	4.101563562
379	4.098850485
380	4.098245825
381	4.093335592
